Episode,Seed,Sparsity,Total Steps,Reward,Completion Rate
152,415332,0.7,136,61.33286716,0.436
153,632177,0.3,178,83.17284743,0.478
154,666752,0.5,140,95.20474532,0.84
155,822808,0.7,181,104.1213433,0.681
156,955356,0.7,157,72.33554928,0.457
157,12053,0.3,135,62.20226571,0.435
158,136300,0.7,187,129.2949911,0.887
159,559516,0.5,76,32.9203856,0.376
160,965545,0.7,187,107.4082772,0.687
161,287218,0.3,175,80.35034657,0.475
162,275099,0.5,127,85.65909865,0.827
163,854390,0.3,153,86.44001085,0.653
164,108122,0.3,103,68.5051789,0.803
165,643314,0.5,130,87.63446379,0.83
166,245898,0.5,143,81.18591461,0.643
167,526296,0.3,156,89.37313569,0.656
168,756137,0.5,131,88.94878507,0.831
169,838053,0.7,133,75.32728094,0.633
170,776864,0.3,99,43.63398468,0.399
171,67495,0.7,123,82.4238075,0.823
172,661080,0.5,172,80.69140366,0.472
173,221065,0.7,169,97.78639942,0.669
174,632579,0.7,239,115.6231363,0.539
175,781377,0.3,130,57.16365294,0.43
176,268005,0.7,120,80.93394041,0.82
177,294675,0.5,176,82.38074504,0.476
178,703413,0.3,119,67.04507971,0.619
179,681071,0.5,120,80.99896586,0.82
180,454116,0.3,92,51.11815456,0.592
181,556561,0.3,124,83.50930542,0.824
182,59905,0.3,95,62.839959,0.795
183,99794,0.7,156,107.1899914,0.856
184,191290,0.5,146,67.22424231,0.446
185,64393,0.7,132,74.71145597,0.632
186,181076,0.5,141,64.23917934,0.441
187,95273,0.5,104,57.68484744,0.604
188,318911,0.3,154,88.78654051,0.654
189,309462,0.7,176,120.8787774,0.876
190,771711,0.7,101,45.67256947,0.401
191,146471,0.3,162,74.84781951,0.462
192,714350,0.5,105,70.42713761,0.805
193,547998,0.5,175,100.5476754,0.675
194,647687,0.5,165,94.53818181,0.665
195,2339,0.5,180,105.0482808,0.68
196,350455,0.3,139,78.36268365,0.639
197,578519,0.5,107,71.88908803,0.807
198,252981,0.3,125,70.47976089,0.625
199,765148,0.3,135,91.17351022,0.835
200,80,0.7,119,79.82531232,0.819
201,27350,0.3,148,68.03435344,0.448
202,628846,0.3,111,74.48087031,0.811
203,213819,0.3,126,84.89465687,0.826
204,164986,0.7,133,89.70880848,0.833
205,769240,0.7,184,86.6865131,0.484
206,892310,0.5,187,88.6328423,0.487
207,116072,0.7,131,74.10426131,0.631
208,22091,0.5,92,40.23619516,0.392
209,924622,0.5,209,124.0946901,0.709
210,201784,0.5,107,59.49665132,0.607
211,854268,0.7,136,77.33651179,0.636
212,755006,0.5,185,86.05650347,0.485
213,748992,0.7,165,94.73153159,0.665
214,689877,0.7,173,80.58484063,0.473
215,447755,0.7,167,77.05454366,0.467
216,516749,0.7,152,67.79580574,0.452
217,44148,0.5,149,68.14802583,0.449
218,918171,0.5,156,88.49996057,0.656
219,398584,0.3,157,90.05969661,0.657
220,215969,0.7,160,109.6150836,0.86
221,740452,0.5,62,25.25713217,0.362
222,933694,0.5,120,67.46014211,0.62
223,95729,0.7,145,82.67997685,0.645
